outcome,modality,estimate,CI,SE,t,df,p,effect
pain_pathways_Thal_VPLM_R,mechanical,0.108,"[ 0.036,  0.18]",0.037,2.93,389.4,0.004,Placebo
pain_pathways_aMCC_MPFC,thermal,0.166,"[ 0.084, 0.249]",0.042,3.97,763.9,0,Stim level
pain_pathways_aMCC_MPFC,thermal,0.003,"[-0.068, 0.075]",0.036,0.1,223.5,0.924,Placebo
pain_pathways_aMCC_MPFC,mechanical,0.128,"[ 0.049, 0.208]",0.04,3.18,461.9,0.002,Stim level
pain_pathways_aMCC_MPFC,mechanical,0.095,"[ 0.021, 0.169]",0.038,2.53,398.2,0.012,Placebo
pain_pathways_dpIns_L,thermal,0.091,"[ 0.013, 0.169]",0.04,2.29,589.2,0.023,Stim level
pain_pathways_dpIns_L,thermal,0.018,"[ -0.05, 0.086]",0.035,0.52,246.1,0.602,Placebo
pain_pathways_dpIns_L,mechanical,0.067,"[-0.012, 0.147]",0.041,1.66,750.9,0.098,Stim level
pain_pathways_dpIns_L,mechanical,0.143,"[ 0.075, 0.212]",0.035,4.11,498.8,0,Placebo
pain_pathways_dpIns_R,thermal,0.116,"[ 0.038, 0.195]",0.04,2.9,966.5,0.004,Stim level
pain_pathways_dpIns_R,thermal,0.027,"[-0.042, 0.096]",0.035,0.77,226.7,0.444,Placebo
pain_pathways_dpIns_R,mechanical,0.125,"[ 0.048, 0.203]",0.039,3.18,871.8,0.002,Stim level
pain_pathways_dpIns_R,mechanical,0.136,"[ 0.065, 0.207]",0.036,3.78,381.2,0,Placebo
siips,thermal,0.181,"[ 0.106, 0.255]",0.038,4.77,1408.3,0,Stim level
siips,thermal,-0.129,"[-0.195,-0.063]",0.034,-3.83,417.4,0,Placebo
siips,mechanical,0.188,"[  0.11, 0.265]",0.039,4.75,233,0,Stim level
siips,mechanical,-0.112,"[-0.185,-0.039]",0.037,-3,286.1,0.003,Placebo
siipsneg_L_ITG,thermal,-0.069,"[-0.152, 0.015]",0.042,-1.62,680.2,0.106,Stim level
siipsneg_L_ITG,thermal,-0.066,"[-0.136, 0.005]",0.036,-1.83,505.8,0.069,Placebo
siipsneg_L_ITG,mechanical,0.009,"[-0.079, 0.096]",0.045,0.2,1572.1,0.846,Stim level
siipsneg_L_ITG,mechanical,-0.026,"[-0.105, 0.052]",0.04,-0.66,214.9,0.511,Placebo
siipsneg_L_NAc,thermal,0.023,"[-0.065, 0.112]",0.045,0.52,810,0.604,Stim level
siipsneg_L_NAc,thermal,0.012,"[-0.059, 0.083]",0.036,0.34,851.7,0.735,Placebo
siipsneg_L_NAc,mechanical,-0.089,"[-0.179, 0.001]",0.046,-1.95,806.9,0.052,Stim level
siipsneg_L_NAc,mechanical,-0.111,"[-0.187,-0.034]",0.039,-2.85,466.6,0.005,Placebo
siipsneg_L_STG,thermal,0.012,"[-0.071, 0.094]",0.042,0.28,690.3,0.782,Stim level
siipsneg_L_STG,thermal,-0.069,"[-0.135,-0.002]",0.034,-2.03,1145,0.043,Placebo
siipsneg_L_STG,mechanical,-0.031,"[-0.113,  0.05]",0.042,-0.75,1213.8,0.453,Stim level
siipsneg_L_STG,mechanical,-0.161,"[-0.231,-0.092]",0.035,-4.56,749.2,0,Placebo
siipsneg_R_LG,thermal,0.015,"[-0.065, 0.094]",0.041,0.36,528.3,0.72,Stim level
siipsneg_R_LG,thermal,-0.073,"[-0.148, 0.002]",0.038,-1.93,211.4,0.055,Placebo
siipsneg_R_LG,mechanical,-0.051,"[-0.131, 0.029]",0.041,-1.25,664.7,0.214,Stim level
siipsneg_R_LG,mechanical,-0.165,"[-0.238,-0.093]",0.037,-4.47,422.3,0,Placebo
siipsneg_R_TP,thermal,-0.047,"[-0.133, 0.039]",0.044,-1.07,1558.6,0.286,Stim level
siipsneg_R_TP,thermal,-0.064,"[-0.138, 0.009]",0.037,-1.72,239.6,0.087,Placebo
siipsneg_R_TP,mechanical,-0.061,"[-0.154, 0.033]",0.048,-1.27,341.9,0.203,Stim level
siipsneg_R_TP,mechanical,-0.104,"[-0.186,-0.021]",0.042,-2.48,226.5,0.014,Placebo
siipsneg_mid_precen,thermal,0.034,"[-0.045, 0.113]",0.04,0.84,848.9,0.401,Stim level
siipsneg_mid_precen,thermal,-0.029,"[-0.095, 0.036]",0.033,-0.88,323.6,0.381,Placebo
siipsneg_mid_precen,mechanical,0.016,"[-0.063, 0.096]",0.04,0.4,516.6,0.688,Stim level
siipsneg_mid_precen,mechanical,-0.156,"[-0.228,-0.085]",0.036,-4.3,386.6,0,Placebo
siipsneg_vmpfc,thermal,0.061,"[-0.019, 0.141]",0.041,1.49,643,0.136,Stim level
siipsneg_vmpfc,thermal,-0.02,"[-0.095, 0.055]",0.038,-0.53,297,0.597,Placebo
siipsneg_vmpfc,mechanical,-0.1,"[-0.186,-0.013]",0.044,-2.25,1246.4,0.024,Stim level
siipsneg_vmpfc,mechanical,-0.164,"[-0.244,-0.085]",0.041,-4.06,391.4,0,Placebo
siipspos_R_MTG,thermal,-0.108,"[-0.197,-0.019]",0.045,-2.39,773.9,0.017,Stim level
siipspos_R_MTG,thermal,0.074,"[-0.003, 0.152]",0.039,1.89,434.6,0.06,Placebo
siipspos_R_MTG,mechanical,-0.046,"[-0.132,  0.04]",0.044,-1.06,1389.9,0.291,Stim level
siipspos_R_MTG,mechanical,0.065,"[-0.012, 0.142]",0.039,1.66,325.2,0.098,Placebo
siipspos_dmPFC,thermal,-0.028,"[-0.106,  0.05]",0.04,-0.7,998.6,0.484,Stim level
siipspos_dmPFC,thermal,0.035,"[-0.035, 0.105]",0.036,0.99,228.5,0.324,Placebo
siipspos_dmPFC,mechanical,0.089,"[ 0.009, 0.168]",0.041,2.19,1194.3,0.029,Stim level
siipspos_dmPFC,mechanical,0.078,"[-0.003, 0.158]",0.041,1.91,230.9,0.058,Placebo
suppress_siipsneg_L_Precun,thermal,0.019,"[-0.067, 0.105]",0.044,0.44,297.7,0.664,Stim level
suppress_siipsneg_L_Precun,thermal,-0.059,"[-0.127,  0.01]",0.035,-1.69,316.9,0.092,Placebo
