outcome,modality,estimate,CI,SE,t,df,p,effect
siipsneg_R_LG,mechanical,-11.622,"[-16.735,  -6.51]",2.601,-4.47,422.3,0,Placebo
siipsneg_R_TP,thermal,-0.464,"[-1.318,  0.389]",0.435,-1.07,1558.6,0.286,Stim level
siipsneg_R_TP,thermal,-0.637,"[ -1.368,  0.093]",0.371,-1.72,239.6,0.087,Placebo
siipsneg_R_TP,mechanical,-0.629,"[  -1.6,  0.342]",0.494,-1.27,341.9,0.203,Stim level
siipsneg_R_TP,mechanical,-1.073,"[ -1.927, -0.219]",0.433,-2.48,226.5,0.014,Placebo
siipsneg_mid_precen,thermal,0.075,"[  -0.1,   0.25]",0.089,0.84,848.9,0.401,Stim level
siipsneg_mid_precen,thermal,-0.065,"[  -0.21,   0.08]",0.074,-0.88,323.6,0.381,Placebo
siipsneg_mid_precen,mechanical,0.039,"[-0.151,  0.228]",0.096,0.4,516.6,0.688,Stim level
siipsneg_mid_precen,mechanical,-0.372,"[ -0.543, -0.202]",0.087,-4.3,386.6,0,Placebo
siipsneg_vmpfc,thermal,3.145,"[-0.993,  7.284]",2.108,1.49,643,0.136,Stim level
siipsneg_vmpfc,thermal,-1.041,"[ -4.912,   2.83]",1.967,-0.53,297,0.597,Placebo
siipsneg_vmpfc,mechanical,-5.203,"[-9.734, -0.673]",2.309,-2.25,1246.4,0.024,Stim level
siipsneg_vmpfc,mechanical,-8.594,"[ -12.76, -4.427]",2.119,-4.06,391.4,0,Placebo
siipspos_R_MTG,thermal,-0.133,"[-0.243, -0.024]",0.056,-2.39,773.9,0.017,Stim level
siipspos_R_MTG,thermal,0.092,"[ -0.004,  0.187]",0.049,1.89,434.6,0.06,Placebo
siipspos_R_MTG,mechanical,-0.068,"[-0.194,  0.058]",0.064,-1.06,1389.9,0.291,Stim level
siipspos_R_MTG,mechanical,0.095,"[ -0.018,  0.208]",0.057,1.66,325.2,0.098,Placebo
siipspos_dmPFC,thermal,-0.648,"[-2.466,  1.169]",0.926,-0.7,998.6,0.484,Stim level
siipspos_dmPFC,thermal,0.816,"[ -0.811,  2.444]",0.826,0.99,228.5,0.324,Placebo
siipspos_dmPFC,mechanical,2.202,"[ 0.225,  4.179]",1.008,2.19,1194.3,0.029,Stim level
siipspos_dmPFC,mechanical,1.934,"[ -0.062,  3.931]",1.013,1.91,230.9,0.058,Placebo
suppress_siipsneg_L_Precun,thermal,0.191,"[-0.675,  1.058]",0.44,0.44,297.7,0.664,Stim level
suppress_siipsneg_L_Precun,thermal,-0.587,"[ -1.271,  0.096]",0.348,-1.69,316.9,0.092,Placebo
suppress_siipsneg_L_Precun,mechanical,-0.078,"[-0.987,  0.832]",0.463,-0.17,432.5,0.867,Stim level
suppress_siipsneg_L_Precun,mechanical,-1.665,"[ -2.484, -0.845]",0.416,-4,224.6,0,Placebo
suppress_siipsneg_L_dlPFC,thermal,-3.955,"[-8.158,  0.248]",2.141,-1.85,707.3,0.065,Stim level
suppress_siipsneg_L_dlPFC,thermal,-2.59,"[ -6.266,  1.086]",1.871,-1.39,453.6,0.167,Placebo
suppress_siipsneg_L_dlPFC,mechanical,-2.13,"[-6.701,  2.442]",2.331,-0.91,1380.2,0.361,Stim level
suppress_siipsneg_L_dlPFC,mechanical,-2.246,"[ -6.428,  1.935]",2.127,-1.06,374.5,0.292,Placebo
suppress_siipsneg_R_NAc,thermal,-0.077,"[-0.162,  0.007]",0.043,-1.79,1333.3,0.074,Stim level
suppress_siipsneg_R_NAc,thermal,0.062,"[ -0.016,  0.141]",0.04,1.56,314.3,0.12,Placebo
suppress_siipsneg_R_NAc,mechanical,-0.087,"[ -0.18,  0.006]",0.048,-1.83,1411.6,0.068,Stim level
