outcome,modality,estimate_yint,SE_yint,t_yint,DF_yint,p_yint,lower_yint,upper_yint,direction,significance
pain_pathways_Thal_MD,thermal,0.0832528459947049,0.0345403385897773,2.41030775591021,180.200883995367,0.0169446418365164,0.0150972994716,0.15140839251781,+,*
pain_pathways_dpIns_L,thermal,0.0559971077429874,0.0343908614894993,1.62825545269011,129.939339706821,0.105892993189802,-0.0120413971478548,0.12403561263383,+,n.s.
pain_pathways_dpIns_R,thermal,0.092817991704547,0.0325149489394599,2.85462517186683,230.543616013477,0.00470136804735732,0.0287535537084392,0.156882429700655,+,**
pain_pathways_aMCC_MPFC,thermal,0.152066933008952,0.0340231281653549,4.46951650859074,87.9896004460003,2.3253333282458e-05,0.0844530038564715,0.219680862161433,+,***
canlab2018_mean_Ctx_8C_L,thermal,0.0325612558556287,0.0328638437063801,0.990792682272503,220.965351267663,0.32287053584877,-0.0322054261167958,0.0973279378280532,+,n.s.
canlab2018_mean_Ctx_a47r_R,thermal,0.030548945646258,0.0320031985939914,0.954559137473012,328.420087214564,0.340502749966384,-0.0324081789286056,0.0935060702211215,+,n.s.
canlab2018_mean_Ctx_p9_46v_R,thermal,0.101807922839748,0.0315243183765126,3.2295043345204,243.452781079586,0.00141082359437905,0.0397127056700951,0.163903140009402,+,**
canlab2018_mean_Ctx_46_L,thermal,0.0806547191065335,0.0327355929471365,2.46382337527168,269.601458731193,0.0143709773175127,0.0162048141410192,0.145104624072048,+,*
canlab2018_mean_Ctx_a10p_R,thermal,0.0215765540951289,0.0322502365258673,0.66903553026108,513.578104584168,0.503773436053494,-0.0417820609358606,0.0849351691261184,+,n.s.
canlab2018_mean_Ctx_11l_L,thermal,-0.00797265078505039,0.0363948724777919,-0.219059725787343,178.389926300154,0.826853955455736,-0.0797925220856601,0.0638472205155593,-,n.s.
canlab2018_mean_Ctx_11l_R,thermal,0.0145248736639887,0.0361656927693953,0.401620224907738,164.646665972748,0.688484356765673,-0.0568834524870636,0.085933199815041,+,n.s.
canlab2018_mean_Ctx_p10p_R,thermal,0.0266864068002869,0.0313129252374104,0.852248922703775,836.333182527765,0.394319929183573,-0.0347747449770175,0.0881475585775912,+,n.s.
canlab2018_mean_V_Striatum_L,thermal,-0.0341709238563266,0.0313948427408844,-1.08842474983405,179.07797295019,0.277870278664746,-0.0961223540415458,0.0277805063288927,-,n.s.
canlab2018_mean_V_Striatum_R,thermal,0.0679826265036528,0.0312388219797577,2.17622247560117,991.054185740701,0.0297742001326116,0.00668079476143276,0.129284458245873,+,*
